input,label
target > toys > dolls > mini-dolls & playsets,rest
target > beauty > makeup > eyes > eyeshadow,rest
"target > movies, music & books > music > pop",music
 online shopping  >  office supplies  >  office electronics  >  printers & supplies  >  laser toner cartridges ,rest
books > politics & social sciences > politics & government > specific topics > labor & industrial relations,books
kindle store > kindle ebooks > mystery thriller & suspense > mystery,books
 worldstock fair trade  >  world jewelry  >  handmade jewelry  >  bracelets ,rest
clothing shoes & jewelry > women > shops > petite > dresses > wedding > bridesmaid dresses,rest
tools & home improvement > lighting & ceiling fans,rest
computers & tablets > accessories > cables & connectors > network cables,rest
home & kitchen > kitchen & dining > dining & entertaining > cups mugs & saucers > coffee cups & mugs,rest
 home  >  decor  >  curtains & window treatments  >  blinds & shades ,rest
music on cd or vinyl > rock music on cd or vinyl > rock music on vinyl records,music
books,books
books & media > books > travel books > united states,books
books > computers & technology > networking & cloud computing > networks protocols & apis > networks,books
target > home > home d?cor > rugs > accent rugs,rest
sports & outdoors > outdoor recreation > accessories > sports medicine > braces splints & slings > arm hand & finger supports > hand & wrist braces,rest
toys & games,rest
 online shopping  >  home & garden  >  kitchen & dining  >  cookware  >  specialty cookware ,rest
target > shoes > women's shoes > mules & clogs,rest
home > decor > lighting & light fixtures > ceiling fixtures,rest
books & media > books > children's books > science & nature,books
target > shoes > women's shoes > sandals > footbed sandals,rest
home > clyde robert bulla,books
best buy > cell phones > cell phone accessories > iphone accessories > iphone cases & clips > iphone 5s cases,rest
clothing & shoe store > men's activewear > athletic clothing > shirts,rest
best buy > audio > portable & wireless speakers > wireless & bluetooth speakers,rest
home > decor > lighting & light fixtures > wall fixtures,rest
"target > movies, music & books > music > latin",music
music on cd or vinyl > r&b > soul music on cd or vinyl > r&b > r&b > soul,music
target > clothing > women's clothing > sweaters,rest
best buy > home > home automation & security > security cameras & systems > security cameras,rest
movies & tv > tv shows > documentaries,videos
home > furniture > office furniture > office chairs,rest
music,music
target > liz lange > tops,rest
music on cd or vinyl > rock music on cd or vinyl > alternative rock music on cd or vinyl,music
online shopping >  clothing & shoes >  shoes >  men's shoes >  sneakers,rest
books,books
office products > office & school supplies > forms recordkeeping & money handling > human resources forms > medical & insurance forms,rest
tools & home improvement > hardware > cabinet hardware > pulls,rest
office > office supplies > labels & stickers,rest
 online shopping  >  bedding & bath  >  sheets & pillowcases  >  sheets ,rest
best buy > computers & tablets > computer cards & components > memory ram  > desktop memory,rest
tools & home improvement > building supplies > building materials > doors > garage doors openers & parts > hardware,rest
 online shopping  >  main street revolution  >  home decor  >  decorative accessories  >  accent pieces ,rest
electronics,rest
music,music
best buy > computers & tablets > desktop & all-in-one computers > all desktops > towers only,rest
target > clearance > mens > clothing,rest
beauty & personal care > makeup > nails > nail art,rest
target > home > home decor > rugs > area rugs,rest
pet supply store > pet toys > pet toys,rest
books,books
"target > movies, music & books > music > pop",music
books > literature & fiction > world literature,books
best buy > computers & tablets > computer cards & components > memory ram  > desktop memory,rest
"target > movies, music & books > books > see more genres > business & law",books
books > history > world,books
,books
target > home > home decor > rugs > area rugs,rest
 home  >  decor  >  curtains & window treatments  >  blinds & shades ,rest
"target > movies, music & books > books > fiction & literature > comics & graphic novels",books
target > furniture > bedroom furniture > headboards,rest
grocery & gourmet food > herbs spices & seasonings > mixed spices & seasonings,rest
books & media > books > nature & outdoors books > general nature,books
best buy > computers & tablets > computer cards & components > memory ram  > laptop memory,rest
books & media > books > religion & spirituality books > general religion,books
"target > movies, music & books > movies > see more genres",videos
 home  >  decor  >  curtains & window treatments  >  blinds & shades ,rest
target > holiday > mother's day,rest
 home  >  decor  >  curtains & window coverings  >  window blinds ,rest
hobbies & collectibles,rest
books > humor & entertainment > humor > essays,books
target > merona for men > pants & jeans,rest
 home  >  decor  >  curtains & window treatments  >  blinds & shades ,rest
automotive > motorcycle & powersports > parts > engine,rest
patio lawn & garden > outdoor décor > flags,rest
books & media > books > children's books > young adult,books
clothing > industrial workwear > professional uniforms,rest
"target > movies, music & books > movies > drama",videos
 jewelry & watches  >  jewelry  >  wedding rings  >  engagement rings ,rest
party & occasions > crafts > scrapbooking & paper crafts,rest
 home  >  furniture  >  bedroom furniture  >  vanities & vanity stools ,rest
music,music
bedding & bath store > bath & towels > towels > beach towels,rest
target > clothing > women's clothing > activewear > sports bras > medium impact,rest
target > home > home d?cor > rugs > runners,rest
"target > movies, music & books > books > kids' books",books
clothing shoes & jewelry > novelty & more > clothing > novelty > girls > tops & tees > t-shirts,rest
best buy > cell phones > cell phone accessories > cell phone cases & clips,rest
target > clearance > clothing & accessories clearance > men's clothing clearance,rest
books > art music & photography > photography,books
best buy > computers & tablets > computer accessories & peripherals > mice & keyboards > mice > wired & usb mice,rest
movies & tv > instawatch movies by vudu > shop instawatch > pre-recorded media,videos
"target > movies, music & books > movies > comedy",videos
"herman, gail",books
digital music > songs > country,music
target > school & office supplies > filing > files,rest
"target > movies, music & books > music > jazz",music
best buy > computers & tablets > desktop & all-in-one computers > all desktops > refurbished desktops,rest
health & household > health care > first aid > bandages & dressings > first aid tape,rest
patio & garden > grills & outdoor cooking > outdoor cooking > serving carts & coolers,rest
books > textbooks > science-other,books
health > home health care > daily living aids,rest
clothing & shoe store > men's activewear > athletic clothing > shorts,rest
 online shopping  >  clothing & shoes  >  women's clothing  >  dresses  >  casual dresses ,rest
"target > movies, music & books > books > religion",books
clothing & shoe store > men's clothing store > shirts > men's t-shirts,rest
target > clothing > women's clothing > intimates > bras > demi,rest
beauty & personal care > skin care > sunscreens & tanning products,rest
target > pets > dog supplies > collars & leashes,rest
target > patio & garden > lawn & garden > planters & raised beds,rest
 clothing  >  shoes  >  women's shoes  >  slippers ,rest
